City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
164,Sarkand,KZ,2021-12-10 17:44:07,45.41,79.9186,23.58,55,0,7.54,clear sky
165,Ballina,AU,2021-12-10 17:44:08,-28.8667,153.5667,66.16,72,40,6.91,scattered clouds
166,Petawawa,CA,2021-12-10 17:44:09,45.9001,-77.3328,24.39,86,90,5.75,overcast clouds
167,Laguna,US,2021-12-10 17:44:09,38.421,-121.4238,52.05,78,1,1.99,clear sky
168,Gizo,SB,2021-12-10 17:44:10,-8.103,156.8419,81.18,83,100,12.03,overcast clouds
169,Dukat,RU,2021-12-10 17:44:10,62.55,155.55,-23.71,70,2,2.93,clear sky
170,Richards Bay,ZA,2021-12-10 17:44:11,-28.783,32.0377,76.86,85,24,13.73,few clouds
171,Hellvik,NO,2021-12-10 17:44:12,59.9156,5.781,36.16,67,37,5.66,scattered clouds
172,Clyde River,CA,2021-12-10 17:41:12,70.4692,-68.5914,-12.77,77,40,5.75,scattered clouds
173,Pevek,RU,2021-12-10 17:34:13,69.7008,170.3133,-30.57,98,99,3.15,overcast clouds
174,Bonavista,CA,2021-12-10 17:39:34,48.6499,-53.1147,28.11,69,97,21.03,overcast clouds
175,Tasiilaq,GL,2021-12-10 17:35:30,65.6145,-37.6368,32.16,93,100,25.39,light snow
176,Geraldton,AU,2021-12-10 17:44:13,-28.7667,114.6,68.13,77,75,8.05,broken clouds
177,Castro,BR,2021-12-10 17:44:14,-24.7911,-50.0119,78.96,35,0,5.21,clear sky
178,Sao Jose De Ribamar,BR,2021-12-10 17:44:14,-2.5619,-44.0542,82.78,78,72,16.96,broken clouds
179,Shihezi,CN,2021-12-10 17:44:15,44.3,86.0333,17.1,88,11,0.51,few clouds
180,Mumford,GH,2021-12-10 17:44:15,5.2618,-0.759,81.61,81,71,9.66,broken clouds
181,Kaili,ID,2021-12-10 17:44:16,-3.4626,120.2147,67.1,92,100,3.51,heavy intensity rain
182,Pecos,US,2021-12-10 17:44:02,31.4229,-103.4932,74.05,28,75,19.57,broken clouds
183,Evensk,RU,2021-12-10 17:44:18,61.95,159.2333,-17.93,79,100,4.41,overcast clouds
184,Katsuura,JP,2021-12-10 17:35:19,35.1333,140.3,46.51,77,5,5.93,clear sky
185,Areosa,PT,2021-12-10 17:44:19,41.7178,-8.8571,56.32,90,83,7.96,broken clouds
186,Saint-Pierre,RE,2021-12-10 17:44:19,-21.3393,55.4781,78.48,72,0,18.41,clear sky
187,Korla,CN,2021-12-10 17:43:33,41.7597,86.1469,23.43,62,0,2.73,clear sky
188,Nemuro,JP,2021-12-10 17:44:08,43.3236,145.575,38.61,79,55,3.8,broken clouds
189,Roma,US,2021-12-10 17:42:03,43.2128,-75.4557,44.83,74,90,5.75,overcast clouds
190,Khandyga,RU,2021-12-10 17:45:21,62.6667,135.6,-9.22,99,100,2.35,overcast clouds
191,Mtsensk,RU,2021-12-10 17:41:19,53.2766,36.5733,26.11,90,96,13.44,overcast clouds
192,Xai-Xai,MZ,2021-12-10 17:45:17,-25.0519,33.6442,78.82,77,93,14.18,overcast clouds
193,Jatai,BR,2021-12-10 17:40:25,-17.8814,-51.7144,90.43,31,76,6.82,broken clouds
194,Kahului,US,2021-12-10 17:38:16,20.8947,-156.47,75.85,88,20,6.91,few clouds
195,Tharad,IN,2021-12-10 17:45:22,24.3961,71.6267,66.7,29,5,9.26,clear sky
196,Vallenar,CL,2021-12-10 17:45:17,-28.5708,-70.7581,78.91,30,10,13.94,clear sky
197,Nuevo Progreso,MX,2021-12-10 17:45:23,23.1667,-97.95,83.59,69,64,4.0,broken clouds
198,Temir,KZ,2021-12-10 17:45:24,49.1414,57.13,25.48,77,96,9.78,overcast clouds
199,Tessalit,ML,2021-12-10 17:45:24,20.1986,1.0114,73.31,7,100,9.75,overcast clouds
200,Staunton,US,2021-12-10 17:45:25,38.1496,-79.0717,55.11,48,90,1.01,overcast clouds
201,La Ronge,CA,2021-12-10 17:45:20,55.1001,-105.2842,16.05,79,75,9.22,light snow
202,Hinton,CA,2021-12-10 17:45:26,53.4001,-117.5857,17.64,72,54,8.08,broken clouds
203,Praia Da Vitoria,PT,2021-12-10 17:45:26,38.7333,-27.0667,63.75,94,75,12.21,broken clouds
204,Salalah,OM,2021-12-10 17:45:27,17.0151,54.0924,78.89,69,0,0.0,clear sky
205,Alta Floresta,BR,2021-12-10 17:39:37,-9.8756,-56.0861,75.02,100,75,10.36,moderate rain
206,Bouza,NE,2021-12-10 17:45:27,14.4229,6.0428,75.87,14,19,9.82,few clouds
207,Grand Gaube,MU,2021-12-10 17:39:43,-20.0064,57.6608,79.2,71,100,4.0,overcast clouds
208,Villa Carlos Paz,AR,2021-12-10 17:45:28,-31.4241,-64.4978,68.25,10,73,5.01,broken clouds
209,Port Moresby,PG,2021-12-10 17:45:29,-9.4431,147.1797,74.62,100,75,3.44,broken clouds
210,Belle Glade,US,2021-12-10 17:40:51,26.6845,-80.6676,85.01,62,5,4.85,clear sky
211,Kungurtug,RU,2021-12-10 17:45:30,50.5994,97.5228,-0.15,99,100,1.12,overcast clouds
212,Kolvereid,NO,2021-12-10 17:45:30,64.8655,11.6047,31.23,78,47,8.88,scattered clouds
213,Robertsport,LR,2021-12-10 17:45:31,6.7533,-11.3686,83.35,75,46,11.34,scattered clouds
214,Yellowknife,CA,2021-12-10 17:44:42,62.456,-114.3525,-12.59,95,20,3.44,few clouds
215,Adre,TD,2021-12-10 17:45:31,13.4667,22.2,74.88,16,1,8.81,clear sky
216,Boyle,US,2021-12-10 17:45:32,37.6334,-84.8666,59.02,88,90,9.22,overcast clouds
217,Pryazha,RU,2021-12-10 17:45:32,61.6926,33.6216,6.03,83,91,6.2,overcast clouds
218,Tuktoyaktuk,CA,2021-12-10 17:39:42,69.4541,-133.0374,-7.6,77,75,11.5,broken clouds
219,Hami,CN,2021-12-10 17:45:33,42.8,93.45,25.36,46,17,6.69,few clouds
220,Miraflores,MX,2021-12-10 17:45:34,19.2167,-98.8083,68.04,32,7,3.36,clear sky
221,Banda Aceh,ID,2021-12-10 17:45:35,5.5577,95.3222,78.37,81,100,7.54,overcast clouds
222,Ambulu,ID,2021-12-10 17:45:35,-8.345,113.6058,76.71,89,24,2.13,few clouds
223,Gisborne,NZ,2021-12-10 17:45:36,-38.6533,178.0042,65.95,83,91,8.88,overcast clouds
224,Prince Rupert,CA,2021-12-10 17:45:37,54.3161,-130.3201,44.29,87,90,12.66,moderate rain
225,Aksay,RU,2021-12-10 17:44:45,47.26,39.87,48.25,61,99,8.99,overcast clouds
226,Bethlehem,BR,2021-12-10 17:44:34,-1.4558,-48.5044,80.64,89,75,4.61,broken clouds
227,Bosaso,SO,2021-12-10 17:45:38,11.2842,49.1816,76.46,73,23,10.11,few clouds
228,Flinders,AU,2021-12-10 17:45:39,-34.5833,150.8552,60.21,78,95,17.49,overcast clouds
229,Broome,US,2021-12-10 17:44:56,42.2506,-75.833,43.21,69,90,1.99,overcast clouds
230,Utete,TZ,2021-12-10 17:46:39,-7.986,38.758,74.3,87,26,4.38,scattered clouds
231,Lazaro Cardenas,MX,2021-12-10 17:46:40,17.9583,-102.2,85.33,62,72,3.91,broken clouds
232,Ketchikan,US,2021-12-10 17:46:41,55.3422,-131.6461,37.87,87,90,11.5,moderate rain
233,Pacific Grove,US,2021-12-10 17:44:02,36.6177,-121.9166,54.43,82,1,1.99,clear sky
234,Hobyo,SO,2021-12-10 17:46:42,5.3505,48.5268,78.62,72,30,18.88,scattered clouds
235,Samarai,PG,2021-12-10 17:46:43,-10.6167,150.6667,81.45,79,95,14.92,overcast clouds
236,Prata,BR,2021-12-10 17:46:44,-19.3072,-48.9242,89.91,26,2,6.2,clear sky
237,Grindavik,IS,2021-12-10 17:46:45,63.8424,-22.4338,30.67,86,0,6.91,clear sky
238,Huntsville,US,2021-12-10 17:45:59,34.7304,-86.5861,64.78,97,90,1.01,overcast clouds
239,Tual,ID,2021-12-10 17:46:46,-5.6667,132.75,83.88,76,100,17.67,overcast clouds
240,Chuy,UY,2021-12-10 17:36:57,-33.6971,-53.4616,72.3,55,23,12.46,few clouds
241,Jiaocheng,CN,2021-12-10 17:46:47,24.6774,116.1389,58.28,88,6,1.19,clear sky
242,Rohatyn,UA,2021-12-10 17:46:48,49.409,24.6093,34.65,100,100,1.83,overcast clouds
243,El Oro,MX,2021-12-10 17:46:49,26.8667,-105.85,63.79,31,58,23.8,broken clouds
244,Cidreira,BR,2021-12-10 17:43:34,-30.1811,-50.2056,71.1,56,21,8.97,few clouds
245,Santiago,CL,2021-12-10 17:42:58,-33.4569,-70.6483,80.17,33,0,6.91,clear sky
246,Gravdal,NO,2021-12-10 17:46:50,68.1214,13.5031,35.49,60,40,5.75,scattered clouds
247,Pacasmayo,PE,2021-12-10 17:46:50,-7.4006,-79.5714,73.31,71,86,12.57,overcast clouds
248,Maniwaki,CA,2021-12-10 17:44:02,46.3834,-75.966,23.54,93,100,4.61,overcast clouds
249,Belyy Yar,RU,2021-12-10 17:38:30,53.6039,91.3903,19.29,67,0,4.47,clear sky
250,Green River,US,2021-12-10 17:46:07,41.5286,-109.4662,21.97,75,44,8.01,scattered clouds
251,Juba,SS,2021-12-10 17:45:48,4.8517,31.5825,90.46,30,85,1.81,overcast clouds
252,Kapiri Mposhi,ZM,2021-12-10 17:46:51,-13.9652,28.6809,74.66,43,71,2.75,broken clouds
253,Port Blair,IN,2021-12-10 17:46:52,11.6667,92.75,79.36,79,5,10.56,clear sky
254,Reo,BF,2021-12-10 17:46:52,12.3167,-2.4667,82.83,8,59,9.1,broken clouds
255,Arona,ES,2021-12-10 17:46:53,28.0996,-16.681,64.33,62,20,1.99,few clouds
256,Jiwani,PK,2021-12-10 17:46:54,25.05,61.7417,73.56,50,91,6.08,overcast clouds
257,Salym,RU,2021-12-10 17:46:54,60.0625,71.4789,21.34,93,100,10.83,light snow
258,Souillac,MU,2021-12-10 17:46:54,-20.5167,57.5167,79.18,69,40,6.91,scattered clouds
259,Noumea,NC,2021-12-10 17:46:55,-22.2763,166.4572,80.58,82,98,7.74,overcast clouds
260,Sabzevar,IR,2021-12-10 17:46:55,36.2126,57.6819,49.01,35,2,3.0,clear sky
261,Pedernales,DO,2021-12-10 17:46:56,18.0384,-71.744,83.12,59,1,9.95,clear sky
