City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,92,Honiara,SB,2021-12-06 23:14:53,-9.4333,159.95,82.89,83,96,4.54
93,93,Impfondo,CG,2021-12-06 23:14:54,1.6381,18.0667,72.75,88,39,1.28
94,94,Launceston,AU,2021-12-06 23:14:54,-41.45,147.1667,62.24,81,90,1.99
95,95,Harper,LR,2021-12-06 23:14:54,4.375,-7.7169,79.27,84,56,9.93
96,96,Santo Tomas,PH,2021-12-06 23:15:55,14.1079,121.1414,74.57,85,63,4.27
97,97,Srednekolymsk,RU,2021-12-06 23:15:55,67.45,153.6833,-31.02,95,98,2.35
98,98,Leshan,CN,2021-12-06 23:15:56,29.5623,103.7639,51.1,88,100,1.61
99,99,Ewa Beach,US,2021-12-06 23:11:43,21.3156,-158.0072,75.15,88,90,6.91
100,100,Okakarara,,2021-12-06 23:15:56,-20.5833,17.4333,72.5,21,31,7.92
101,101,Nikolskoye,RU,2021-12-06 23:15:57,59.7035,30.7861,5.4,97,100,3.31
102,102,Flinders,AU,2021-12-06 23:15:57,-34.5833,150.8552,76.05,72,36,4.85
103,103,Kulu,TR,2021-12-06 23:15:58,39.0951,33.0799,44.38,86,7,9.6
104,104,Barrow,US,2021-12-06 23:15:58,71.2906,-156.7887,24.82,74,90,17.27
105,105,Cabo Rojo,PR,2021-12-06 23:15:59,18.0866,-67.1457,80.67,85,18,9.17
106,106,Iqaluit,CA,2021-12-06 23:15:59,63.7506,-68.5145,10.13,66,75,5.01
107,107,Lang Son,VN,2021-12-06 23:15:59,21.8333,106.7333,50.85,59,1,2.57
108,108,Chake Chake,TZ,2021-12-06 23:16:00,-5.2459,39.7666,77.09,82,89,3.56
109,109,Abnub,EG,2021-12-06 23:16:00,27.2696,31.1511,60.67,57,100,4.74
110,110,Gushikawa,JP,2021-12-06 23:16:01,26.3544,127.8686,67.23,94,1,5.75
111,111,Tiksi,RU,2021-12-06 23:16:01,71.6872,128.8694,-25.6,93,100,9.1
