City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
413,Majene,ID,78.28,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
414,Eyl,SO,76.48,clear sky,7.9803,49.8164,Amiin Hotel
416,Coihaique,CL,77.61,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
417,Carutapera,BR,83.73,broken clouds,-1.195,-46.02,Lidera
418,Angoche,MZ,81.05,scattered clouds,-16.2325,39.9086,Guest House HESADA
419,Tevaitoa,PF,81.3,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
420,Manavalakurichi,IN,80.69,scattered clouds,8.1333,77.3,Muttom beach west
428,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
430,Lorengau,PG,83.52,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
440,Porto Walter,BR,77.22,light rain,-8.2686,-72.7439,Secretaria de saúde
442,Baraya,CO,82.2,broken clouds,3.1533,-75.0531,HOTEL LOS ALMENDROS
448,Marsh Harbour,BS,76.84,clear sky,26.5412,-77.0636,Abaco Beach Resort
449,Matara,LK,76.08,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
450,Banjar,ID,84.06,broken clouds,-8.19,114.9675,The Hamsa Resort
453,Cururupu,BR,85.78,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
459,Surat,IN,75.18,smoke,21.1667,72.8333,HOTEL RUCHIRAJ
462,Kulhudhuffushi,MV,82.29,scattered clouds,6.6221,73.07,Haajy Guest House 1
466,Gorontalo,ID,76.5,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
467,Sambava,MG,76.73,overcast clouds,-14.2667,50.1667,Melrose
468,Punta Alta,AR,75.51,broken clouds,-38.8759,-62.0736,Center Hotel Punta Alta
471,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Hotel Marilu
472,Sao Jose Da Coroa Grande,BR,83.34,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
473,Sinnamary,GF,78.6,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
475,Mecca,SA,75.18,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
483,Pandan,PH,78.39,moderate rain,14.0453,124.1694,Bonifacio Lodge
485,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
494,Coahuayana,MX,89.67,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
501,Wankaner,IN,76.64,clear sky,22.6167,70.9333,Royal Oasis
505,Gewane,ET,79.39,clear sky,10.1664,40.6453,Ayelu pension
506,Kasempa,ZM,76.23,scattered clouds,-13.4584,25.8338,Lolelunga Forest Reserve
508,Rawson,AR,82.9,clear sky,-43.3002,-65.1023,Hosteria Sampedro
513,Santa Fe,AR,82.0,overcast clouds,-31.6333,-60.7,Conquistador Hotel
520,Kudat,MY,80.53,scattered clouds,6.8837,116.8477,Dream Garden Hotel
521,Mazatlan,MX,79.02,broken clouds,23.2167,-106.4167,Hotel Playamar
528,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
529,Mamallapuram,IN,81.05,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
535,Funadhoo,MV,82.74,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
538,Sola,VU,82.26,scattered clouds,-13.8833,167.55,Leumerus Bungalows
540,Nueve De Julio,AR,78.71,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
549,Namatanai,PG,79.02,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
556,Puerto Carreno,CO,89.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
557,Hambantota,LK,78.84,overcast clouds,6.1241,81.1185,Bungalow 63
562,Bontang,ID,75.47,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
575,Progreso,MX,88.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
579,Impfondo,CG,80.17,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
581,Massaguet,TD,82.89,broken clouds,12.4755,15.4365,Alwatane
584,Luganville,VU,78.96,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
585,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,Hotel Fórum
591,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
595,Jaciara,BR,89.24,broken clouds,-15.9653,-54.9683,Taba Hotel
596,Dhidhdhoo,MV,82.09,scattered clouds,6.8833,73.1,Dhidhoo beach
601,Igboho,NG,82.92,few clouds,8.8333,3.75,More Hotet LTD
604,Imbituba,BR,76.89,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
605,Bonthe,SL,82.53,broken clouds,7.5264,-12.505,Bonthe Holiday Village
607,La Union,PE,84.2,broken clouds,-5.4,-80.75,Los Portales
608,Manggar,ID,78.21,overcast clouds,-2.8833,108.2667,Guest Hotel
609,Bengkulu,ID,75.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
616,Ende,ID,79.45,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
617,Kalabo,ZM,80.37,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
619,Morondava,MG,80.83,broken clouds,-20.2833,44.2833,La Case Bambou
621,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
622,Bacolod,PH,77.86,overcast clouds,10.6667,122.95,Planta Hotel & Residences
626,Sumbe,AO,78.78,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
638,Keffi,NG,83.82,broken clouds,8.8486,7.8736,Imam Family
642,Sumenep,ID,79.74,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
644,Salinopolis,BR,81.43,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
647,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
649,Benguela,AO,79.11,clear sky,-12.5763,13.4055,Hotel Praia Morena
652,Galle,LK,78.03,overcast clouds,6.0367,80.217,Amangalla
654,Puerto Guzman,CO,83.77,broken clouds,0.9703,-76.5858,Hotel Campo Verde
665,Magdalena,PH,78.12,scattered clouds,14.1999,121.429,Samparada & Gestiada Residences
667,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
670,Ipilan,PH,79.68,overcast clouds,8.8431,117.9033,Brookes Inn
671,Manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
674,Alibag,IN,82.47,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
676,Kokopo,PG,77.27,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
